Location,Period,Indicator,Dim1,First Tooltip
Azerbaijan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.6
Azerbaijan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.5
Azerbaijan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Bahamas,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Bahamas,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Bahamas,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Bahrain,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.4
Bahrain,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2
Bahrain,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.3
Bangladesh,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.1
Bangladesh,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.2
Bangladesh,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Barbados,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4
Barbados,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6.4
Barbados,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Belarus,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,7.8
Belarus,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,14.3
Belarus,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2.4
Belgium,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Belgium,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.8
Belgium,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2
Belize,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.3
Belize,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.2
Belize,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.4
Benin,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.2
Benin,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.1
Benin,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.3
Bhutan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.3
Bhutan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2
Bhutan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.4
Bolivia (Plurinational State of),2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.8
Bolivia (Plurinational State of),2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.9
Bolivia (Plurinational State of),2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Bosnia and Herzegovina,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.5
Bosnia and Herzegovina,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.3
Bosnia and Herzegovina,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Botswana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.7
Botswana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,8.2
Botswana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
Brazil,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.8
Brazil,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.6
Brazil,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
Brunei Darussalam,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.5
Brunei Darussalam,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2.4
Brunei Darussalam,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.5
Bulgaria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.6
Bulgaria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.9
Bulgaria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.5
Burkina Faso,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.1
Burkina Faso,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2
Burkina Faso,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.3
Burundi,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.4
Burundi,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.6
Burundi,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.4
Cabo Verde,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.1
Cabo Verde,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.1
Cabo Verde,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.2
Cambodia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.3
Cambodia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.7
Cambodia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
Cameroon,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.6
Cameroon,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.8
Cameroon,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.4
Canada,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Canada,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Canada,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Central African Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.5
Central African Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.5
Central African Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.5
Chad,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0
Chad,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.1
Chad,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Chile,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.5
Chile,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Chile,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
China,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.1
China,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4
China,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.1
Colombia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Colombia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Colombia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Comoros,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0
Comoros,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0
Comoros,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Congo,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.4
Congo,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2.5
Congo,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.3
Cook Islands,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.4
Cook Islands,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.6
Cook Islands,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
Costa Rica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Costa Rica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Costa Rica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Côte d’Ivoire,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,6.5
Côte d’Ivoire,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,10.3
Côte d’Ivoire,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2.5
Croatia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.4
Croatia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.2
Croatia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Cuba,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Cuba,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.9
Cuba,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Cyprus,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.8
Cyprus,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.8
Cyprus,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Czechia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.2
Czechia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.6
Czechia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.9
Democratic People's Republic of Korea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.2
Democratic People's Republic of Korea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.8
Democratic People's Republic of Korea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.6
Democratic Republic of the Congo,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.3
Democratic Republic of the Congo,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Democratic Republic of the Congo,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.6
Denmark,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.6
Denmark,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.3
Denmark,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2
Djibouti,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.6
Djibouti,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,1.1
Djibouti,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.1
Dominica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4
Dominica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6.1
Dominica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Dominican Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4
Dominican Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6.1
Dominican Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Ecuador,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Ecuador,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.9
Ecuador,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Egypt,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.8
Egypt,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,1.4
Egypt,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.2
El Salvador,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.5
El Salvador,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.5
El Salvador,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Equatorial Guinea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.4
Equatorial Guinea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.4
Equatorial Guinea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.2
Eritrea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.4
Eritrea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2.7
Eritrea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.2
Estonia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,6.8
Estonia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,12.3
Estonia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2.1
Eswatini,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.6
Eswatini,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.9
Eswatini,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.4
Ethiopia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.7
Ethiopia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3
Ethiopia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.5
Fiji,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.4
Fiji,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.7
Fiji,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
Finland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.7
Finland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.6
Finland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
France,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.6
France,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.8
France,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.6
Gabon,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.5
Gabon,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.6
Gabon,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.3
Gambia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.3
Gambia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.5
Gambia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.1
Georgia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.5
Georgia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.5
Georgia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Germany,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.4
Germany,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.8
Germany,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2
Ghana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.7
Ghana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.8
Ghana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.6
Greece,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.4
Greece,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.2
Greece,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.6
Grenada,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.7
Grenada,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.7
Grenada,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Guatemala,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.6
Guatemala,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.6
Guatemala,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Guinea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0
Guinea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.1
Guinea,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Guinea-Bissau,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.3
Guinea-Bissau,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.6
Guinea-Bissau,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.1
Guyana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.3
Guyana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6.5
Guyana,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2
Haiti,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.1
Haiti,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6.4
Haiti,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Honduras,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.8
Honduras,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.8
Honduras,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Hungary,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,11.7
Hungary,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,20.4
Hungary,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,4
Iceland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.4
Iceland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.7
Iceland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
India,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,1.1
India,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,2.1
India,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.1
Indonesia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.1
Indonesia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.1
Indonesia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Iran (Islamic Republic of),2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.3
Iran (Islamic Republic of),2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.7
Iran (Islamic Republic of),2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Iraq,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.2
Iraq,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.3
Iraq,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Ireland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,4.7
Ireland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7.2
Ireland,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,2.3
Israel,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.5
Israel,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.3
Israel,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Italy,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.7
Italy,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.9
Italy,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.5
Jamaica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.7
Jamaica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.7
Jamaica,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Japan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.3
Japan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.6
Japan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.2
Jordan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.2
Jordan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.4
Jordan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.1
Kazakhstan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.7
Kazakhstan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.8
Kazakhstan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Kenya,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.6
Kenya,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.7
Kenya,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.6
Kiribati,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.3
Kiribati,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.6
Kiribati,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.1
Kuwait,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.2
Kuwait,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.2
Kuwait,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Kyrgyzstan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.6
Kyrgyzstan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.6
Kyrgyzstan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Lao People's Democratic Republic,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.4
