Location,Indicator,Period,First Tooltip
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",1997,1.7
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",1995,1.4
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",1994,0.8
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",1993,0.8
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2015,26.1
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2014,26
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2013,27.7
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2012,31.8
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2011,26.5
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2010,26.8
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2009,29.7
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2008,31.6
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2007,32.9
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2006,31.2
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2005,33.4
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2004,34.6
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2003,34.9
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2002,33.8
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2001,31.7
Austria,"Alcohol-related road traffic crashes, per 100,000 population",2000,32
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1999,30.8
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1998,27.8
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1997,31
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1996,31.7
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1995,33.4
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1994,36
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1993,34.5
Austria,"Alcohol-related road traffic crashes, per 100,000 population",1992,38.9
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2015,0.6
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2014,0.7
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2013,0.9
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2012,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2011,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2010,0.9
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2009,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2008,1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2007,1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2006,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2005,1.2
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2004,0.9
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2003,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2002,1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2001,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",2000,1.2
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1999,1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1998,1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1997,1.1
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1996,1.2
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1995,1.5
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1994,1.2
Azerbaijan,"Alcohol-related road traffic crashes, per 100,000 population",1993,1.3
Bahrain,"Alcohol-related road traffic crashes, per 100,000 population",2014,31.5
Bahrain,"Alcohol-related road traffic crashes, per 100,000 population",2013,17.6
Bahrain,"Alcohol-related road traffic crashes, per 100,000 population",2012,25.6
Bahrain,"Alcohol-related road traffic crashes, per 100,000 population",2011,42.4
Bahrain,"Alcohol-related road traffic crashes, per 100,000 population",2010,29.5
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2014,5.6
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2013,7.4
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2012,6.1
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2011,9.5
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2010,9.5
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2009,10.8
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2008,10.7
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2007,9
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2006,9.1
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2005,8.6
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2004,7.8
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2003,7.4
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2002,8
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2001,6.9
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",2000,7.5
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1999,7.6
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1998,14.1
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1997,14.5
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1996,14.8
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1995,14.5
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1994,14.7
Belarus,"Alcohol-related road traffic crashes, per 100,000 population",1993,15
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2013,1.1
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2012,0.9
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2011,0.7
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2010,0.4
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2009,0.4
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2008,0.5
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2007,0.6
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2006,0.9
Belgium,"Alcohol-related road traffic crashes, per 100,000 population",2005,1.6
Belize,"Alcohol-related road traffic crashes, per 100,000 population",2007,46.6
Belize,"Alcohol-related road traffic crashes, per 100,000 population",2006,42
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2012,34.2
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2011,30.4
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2010,15.3
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2009,15.9
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2008,3.8
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2007,4
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2006,3.2
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2005,3.7
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2004,4.8
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2003,No data
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2002,No data
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2001,No data
Bhutan,"Alcohol-related road traffic crashes, per 100,000 population",2000,3.2
Bolivia (Plurinational State of),"Alcohol-related road traffic crashes, per 100,000 population",2004,116.3
Bosnia and Herzegovina,"Alcohol-related road traffic crashes, per 100,000 population",1995,7
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2015,2.7
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2014,2.5
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2013,3.3
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2012,3.6
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2011,3.6
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2010,3.5
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2009,3.3
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2008,5
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2007,4.1
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2006,4.1
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2005,No data
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2004,5.5
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2003,5.4
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2002,5.6
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2001,5.5
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",2000,5.9
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",1999,6.1
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",1998,6.6
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",1997,7.3
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",1996,5.5
Bulgaria,"Alcohol-related road traffic crashes, per 100,000 population",1995,7.4
Cambodia,"Alcohol-related road traffic crashes, per 100,000 population",2013,6.7
Cambodia,"Alcohol-related road traffic crashes, per 100,000 population",2012,3.8
Cambodia,"Alcohol-related road traffic crashes, per 100,000 population",2011,3.9
Cambodia,"Alcohol-related road traffic crashes, per 100,000 population",2010,6.3
Cambodia,"Alcohol-related road traffic crashes, per 100,000 population",2009,11.6
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2012,6.7
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2011,6.7
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2010,6
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2009,6.4
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2008,7
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2007,8
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2006,9
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2005,8.6
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2004,8.9
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2003,8.8
Canada,"Alcohol-related road traffic crashes, per 100,000 population",2002,9.6
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2014,2.2
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2013,2
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2012,2
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2011,1.8
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2010,2.6
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2009,1
Chile,"Alcohol-related road traffic crashes, per 100,000 population",2008,1.5
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2014,82.1
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2013,106.7
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2012,131.6
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2011,156.9
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2010,128.2
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2009,148.9
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2008,159.9
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2007,211.6
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2006,274.8
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2005,190.8
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2004,183.6
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2003,208.7
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2002,229.5
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2001,227.8
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",2000,112.3
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",1999,84.3
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",1998,106.1
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",1997,215.6
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",1996,164.5
Cook Islands,"Alcohol-related road traffic crashes, per 100,000 population",1995,180.3
Costa Rica,"Alcohol-related road traffic crashes, per 100,000 population",2010,1.3
Costa Rica,"Alcohol-related road traffic crashes, per 100,000 population",2009,1.5
Costa Rica,"Alcohol-related road traffic crashes, per 100,000 population",2008,2.4
Costa Rica,"Alcohol-related road traffic crashes, per 100,000 population",2007,2.9
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2014,38.6
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2013,41.4
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2012,49.9
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2011,53.9
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2010,55.1
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2009,75.9
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2008,81.3
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2007,88.7
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2006,77.4
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2005,69.2
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2004,81
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2003,89.1
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2002,75.1
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2001,73.4
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",2000,74.9
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",1999,64.7
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",1998,60.1
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",1997,56.3
Croatia,"Alcohol-related road traffic crashes, per 100,000 population",1996,39.6
Cuba,"Alcohol-related road traffic crashes, per 100,000 population",2013,1.7
Cuba,"Alcohol-related road traffic crashes, per 100,000 population",2012,1.5
Cuba,"Alcohol-related road traffic crashes, per 100,000 population",2011,1.9
Cuba,"Alcohol-related road traffic crashes, per 100,000 population",2010,2.4
Cuba,"Alcohol-related road traffic crashes, per 100,000 population",2009,2.6
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2014,16.8
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2013,16.1
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2012,24
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2011,24.3
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2010,27.9
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2009,21.9
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2008,27.3
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2007,25.4
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2006,17.3
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2005,17
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2004,1.8
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2003,4.9
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2002,6.2
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2001,5.5
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",2000,No data
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",1999,4.7
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",1998,6.3
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",1997,4.7
Cyprus,"Alcohol-related road traffic crashes, per 100,000 population",1996,5.5
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2016,41.5
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2015,43.1
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2014,44
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2013,44.5
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2012,47.2
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2011,49.8
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2010,47.8
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2009,No data
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2008,22.5
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2007,No data
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2006,No data
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2005,No data
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2004,27.3
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2003,33.4
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2002,37
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2001,34.8
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",2000,34.8
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1999,36.2
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1998,37.7
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1997,41.4
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1996,40.8
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1995,42.4
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1994,43.2
Czechia,"Alcohol-related road traffic crashes, per 100,000 population",1993,38.8
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2015,5.8
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2014,6.3
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2013,7.7
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2012,8.3
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2011,10.1
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2010,9.6
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2009,12.4
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2008,15
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2007,17.7
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2006,15.9
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2005,16.1
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2004,20.1
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2003,22.1
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2002,23
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2001,21.3
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",2000,23.9
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1999,22.7
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1998,21.3
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1997,23.8
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1996,23.8
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1995,24.6
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1994,25.9
Denmark,"Alcohol-related road traffic crashes, per 100,000 population",1993,27.5
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2014,15.7
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2013,14.4
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2012,12.4
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2011,16.3
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2010,17.8
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2009,14.8
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2008,11.2
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2007,12.5
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2006,No data
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2005,12.8
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2004,12.9
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2003,8.5
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2002,10.4
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2001,13.7
Ecuador,"Alcohol-related road traffic crashes, per 100,000 population",2000,16.3
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2014,13.7
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2013,14.5
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2012,15.4
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2011,16.3
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2010,15.3
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2009,21
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2008,29.2
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2007,41.1
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2006,40.1
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2005,32.7
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2004,30
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2003,29.2
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2002,36.4
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2001,28.8
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",2000,22.8
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1999,30.8
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1998,38.2
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1997,35.4
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1996,No data
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1995,43.9
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1994,39.3
Estonia,"Alcohol-related road traffic crashes, per 100,000 population",1993,32.2
Eswatini,"Alcohol-related road traffic crashes, per 100,000 population",1991,294.3
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2013,9.3
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2012,9
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2011,11.2
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2010,11.7
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2009,13.2
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2008,14.7
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2007,15.6
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2006,15.3
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2005,16.4
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2004,19.3
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2003,19.1
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2002,17.7
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2001,18.2
Finland,"Alcohol-related road traffic crashes, per 100,000 population",2000,18.8
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1999,19.3
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1998,19.8
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1997,19.2
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1996,19.5
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1995,21.6
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1994,15.5
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1993,17.7
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1992,No data
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1991,No data
Finland,"Alcohol-related road traffic crashes, per 100,000 population",1990,12.6
France,"Alcohol-related road traffic crashes, per 100,000 population",2011,4.6
France,"Alcohol-related road traffic crashes, per 100,000 population",2010,4.8
France,"Alcohol-related road traffic crashes, per 100,000 population",2009,5
France,"Alcohol-related road traffic crashes, per 100,000 population",2008,4.5
France,"Alcohol-related road traffic crashes, per 100,000 population",2007,5.3
France,"Alcohol-related road traffic crashes, per 100,000 population",2006,5.1
France,"Alcohol-related road traffic crashes, per 100,000 population",2005,4.6
France,"Alcohol-related road traffic crashes, per 100,000 population",2004,4.5
France,"Alcohol-related road traffic crashes, per 100,000 population",2003,5
France,"Alcohol-related road traffic crashes, per 100,000 population",2002,6.4
France,"Alcohol-related road traffic crashes, per 100,000 population",2001,7.1
France,"Alcohol-related road traffic crashes, per 100,000 population",2000,7.7
France,"Alcohol-related road traffic crashes, per 100,000 population",1999,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1998,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1997,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1996,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1995,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1994,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1993,No data
France,"Alcohol-related road traffic crashes, per 100,000 population",1992,29.7
Georgia,"Alcohol-related road traffic crashes, per 100,000 population",2014,6.5
Georgia,"Alcohol-related road traffic crashes, per 100,000 population",2013,5.6
Georgia,"Alcohol-related road traffic crashes, per 100,000 population",2012,6.2
Georgia,"Alcohol-related road traffic crashes, per 100,000 population",2011,6.7
Georgia,"Alcohol-related road traffic crashes, per 100,000 population",2010,6.3
