Location,Period,Indicator,Dim1,First Tooltip
Bahrain,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,2.3
Bahrain,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.3
Bangladesh,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.8
Bangladesh,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.4
Bangladesh,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.3
Barbados,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.7
Barbados,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.1
Barbados,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Belarus,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,18.8
Belarus,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,33.9
Belarus,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,6.2
Belgium,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,8.1
Belgium,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,12.1
Belgium,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4.3
Belize,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7.3
Belize,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,12.4
Belize,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.4
Benin,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.4
Benin,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.8
Benin,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.1
Bhutan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,2.1
Bhutan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,3.3
Bhutan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.6
Bolivia (Plurinational State of),2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.7
Bolivia (Plurinational State of),2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Bolivia (Plurinational State of),2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Bosnia and Herzegovina,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6
Bosnia and Herzegovina,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Bosnia and Herzegovina,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.2
Botswana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7.1
Botswana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,12.4
Botswana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.9
Brazil,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.2
Brazil,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,6.9
Brazil,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.6
Brunei Darussalam,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,2.3
Brunei Darussalam,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,3.8
Brunei Darussalam,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.7
Bulgaria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.9
Bulgaria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,12.2
Bulgaria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.9
Burkina Faso,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1.8
Burkina Faso,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,3.4
Burkina Faso,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.3
Burundi,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.8
Burundi,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,11.6
Burundi,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.3
Cabo Verde,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.3
Cabo Verde,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.7
Cabo Verde,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2
Cambodia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.1
Cambodia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.7
Cambodia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.8
Cameroon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7
Cameroon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,11.8
Cameroon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.3
Canada,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,8
Canada,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,12
Canada,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4.1
Central African Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,3.8
Central African Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,6.8
Central African Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.9
Chad,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.7
Chad,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.4
Chad,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0
Chile,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6
Chile,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.3
Chile,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.9
China,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.4
China,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.4
China,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.2
Colombia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7
Colombia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.4
Colombia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.8
Comoros,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.7
Comoros,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.4
Comoros,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0
Congo,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,2.1
Congo,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,3.8
Congo,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.5
Cook Islands,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.3
Cook Islands,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.9
Cook Islands,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.8
Costa Rica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.9
Costa Rica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.4
Costa Rica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.4
Côte d’Ivoire,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,10
Côte d’Ivoire,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,15.6
Côte d’Ivoire,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4.1
Croatia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.8
Croatia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Croatia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.2
Cuba,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.6
Cuba,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.6
Cuba,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.6
Cyprus,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.9
Cyprus,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.5
Cyprus,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.2
Czechia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6
Czechia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.6
Czechia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.7
Democratic People's Republic of Korea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,3.5
Democratic People's Republic of Korea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,6.2
Democratic People's Republic of Korea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1
Democratic Republic of the Congo,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5
Democratic Republic of the Congo,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.1
Democratic Republic of the Congo,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1
Denmark,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7.5
Denmark,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.9
Denmark,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4.2
Djibouti,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.8
Djibouti,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.4
Djibouti,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.2
Dominica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.8
Dominica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.9
Dominica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Dominican Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.8
Dominican Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.9
Dominican Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Ecuador,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.7
Ecuador,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.7
Ecuador,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Egypt,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1.4
Egypt,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,2.6
Egypt,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.2
El Salvador,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.2
El Salvador,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.3
El Salvador,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.6
Equatorial Guinea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.8
Equatorial Guinea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,11.2
Equatorial Guinea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2
Eritrea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,2.2
Eritrea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,4.1
Eritrea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.4
Estonia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,12.2
Estonia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,22.2
Estonia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.8
Eswatini,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7.1
Eswatini,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,12
Eswatini,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.4
Ethiopia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,2.5
Ethiopia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,4.5
Ethiopia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.5
Fiji,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.4
Fiji,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.9
Fiji,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.8
Finland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,9.1
Finland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,14.8
Finland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.8
France,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7
France,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,11.1
France,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.1
Gabon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.9
Gabon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,11.5
Gabon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.1
Gambia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1
Gambia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.9
Gambia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Georgia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.6
Georgia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.8
Georgia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1
Germany,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.8
Germany,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Germany,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4
Ghana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.1
Ghana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,7.3
Ghana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1
Greece,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.1
Greece,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.4
Greece,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.9
Grenada,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.6
Grenada,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.6
Grenada,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.6
Guatemala,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.4
Guatemala,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.5
Guatemala,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Guinea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.7
Guinea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.4
Guinea,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0
Guinea-Bissau,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1
Guinea-Bissau,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,2
Guinea-Bissau,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Guyana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,7.2
Guyana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.5
Guyana,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.8
Haiti,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.9
Haiti,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.3
Haiti,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.8
Honduras,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.7
Honduras,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.7
Honduras,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Hungary,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,21.2
Hungary,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,36.9
Hungary,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,7.2
Iceland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.4
Iceland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,6.7
Iceland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2
India,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.9
India,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.1
India,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.5
Indonesia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.8
Indonesia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.4
Indonesia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.3
Iran (Islamic Republic of),2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1
Iran (Islamic Republic of),2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.8
Iran (Islamic Republic of),2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Iraq,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.4
Iraq,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,0.7
Iraq,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Ireland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,8.5
Ireland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,13
Ireland,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4.1
Israel,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.9
Israel,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Israel,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.1
Italy,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1.3
Italy,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.7
Italy,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1
Jamaica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.2
Jamaica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.2
Jamaica,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.3
Japan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,3.4
Japan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,5.7
Japan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.4
Jordan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.4
Jordan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,0.7
Jordan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Kazakhstan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6
Kazakhstan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.3
Kazakhstan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.2
Kenya,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4
Kenya,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,7.1
Kenya,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.9
Kiribati,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.2
Kiribati,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.9
Kiribati,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.8
Kuwait,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.4
Kuwait,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,0.6
Kuwait,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Kyrgyzstan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.9
Kyrgyzstan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.9
Kyrgyzstan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.1
Lao People's Democratic Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.2
Lao People's Democratic Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,8.7
Lao People's Democratic Republic,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.8
Latvia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,15.5
Latvia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,28.8
Latvia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,4.6
Lebanon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,8.7
Lebanon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,15.8
Lebanon,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.6
Lesotho,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.2
Lesotho,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.3
Lesotho,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.3
Liberia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.2
Liberia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.2
Liberia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.3
Libya,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.3
Libya,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,0.5
Libya,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Lithuania,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,11
