Location,Indicator,Period,Dim1,First Tooltip
Comoros,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.4
Comoros,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.4
Congo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8.3
Congo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.4
Congo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.7
Cook Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Cook Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Cook Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Costa Rica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.1
Costa Rica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.2
Costa Rica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
Côte d’Ivoire,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.7
Côte d’Ivoire,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.4
Côte d’Ivoire,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.5
Croatia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.1
Croatia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10
Croatia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.4
Cuba,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.2
Cuba,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.6
Cuba,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Cyprus,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.6
Cyprus,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.6
Cyprus,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.4
Czechia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.2
Czechia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.4
Czechia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.9
Democratic People's Republic of Korea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.4
Democratic People's Republic of Korea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.7
Democratic People's Republic of Korea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.8
Democratic Republic of the Congo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4
Democratic Republic of the Congo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6
Democratic Republic of the Congo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.8
Denmark,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.6
Denmark,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.6
Denmark,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.6
Djibouti,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.7
Djibouti,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.3
Djibouti,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1
Dominica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Dominica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Dominica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Dominican Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.6
Dominican Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.6
Dominican Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.5
Ecuador,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.7
Ecuador,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.8
Ecuador,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.8
Egypt,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.8
Egypt,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.6
Egypt,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.8
El Salvador,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.2
El Salvador,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,11.3
El Salvador,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.9
Equatorial Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,9.4
Equatorial Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,13.1
Equatorial Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,4.2
Eritrea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.2
Eritrea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.8
Eritrea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.1
Estonia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,20.2
Estonia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,20.7
Estonia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,19.7
Eswatini,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5
Eswatini,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.1
Eswatini,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Ethiopia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.4
Ethiopia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.1
Ethiopia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.4
Fiji,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.7
Fiji,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.5
Fiji,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.6
Finland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.8
Finland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.1
Finland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.5
France,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.8
France,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.9
France,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.7
Gabon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,11.4
Gabon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,17.2
Gabon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,4.8
Gambia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.3
Gambia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.1
Gambia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Georgia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8.1
Georgia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12
Georgia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,4.2
Germany,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.2
Germany,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.9
Germany,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.7
Ghana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.4
Ghana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.6
Ghana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
Greece,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4
Greece,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6
Greece,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2
Grenada,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.6
Grenada,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.2
Grenada,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1
Guatemala,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.5
Guatemala,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.6
Guatemala,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.6
Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.5
Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Guinea-Bissau,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4
Guinea-Bissau,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.4
Guinea-Bissau,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Guyana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.4
Guyana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.2
Guyana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.6
Haiti,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.4
Haiti,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.8
Haiti,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Honduras,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.2
Honduras,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.8
Honduras,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
Hungary,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.9
Hungary,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.8
Hungary,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.2
Iceland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.8
Iceland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.6
Iceland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2
India,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.4
India,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.6
India,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Indonesia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.7
Indonesia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.2
Indonesia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Iran (Islamic Republic of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.5
Iran (Islamic Republic of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.9
Iran (Islamic Republic of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Iraq,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.5
Iraq,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.6
Iraq,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.3
Ireland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.1
Ireland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.3
Ireland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.8
Israel,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.5
Israel,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.2
Israel,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.8
Italy,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.6
Italy,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.7
Italy,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.7
Jamaica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.7
Jamaica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.5
Jamaica,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.6
Japan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.2
Japan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.4
Japan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.9
Jordan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1
Jordan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.4
Jordan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.4
Kazakhstan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,10.3
Kazakhstan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,14.6
Kazakhstan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,5.5
Kenya,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4
Kenya,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.3
Kenya,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Kiribati,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.3
Kiribati,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.9
Kiribati,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Kuwait,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.4
Kuwait,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.5
Kuwait,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Kyrgyzstan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,10.9
Kyrgyzstan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,15.1
Kyrgyzstan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,5.6
Lao People's Democratic Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7
Lao People's Democratic Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.8
Lao People's Democratic Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.9
Latvia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,21.5
Latvia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,22.4
Latvia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,20.7
Lebanon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.3
Lebanon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.9
Lebanon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.6
Lesotho,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.3
Lesotho,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.4
Lesotho,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Liberia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.2
Liberia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.4
Liberia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.9
Libya,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.2
Libya,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.2
Libya,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Lithuania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,24.5
Lithuania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,23.6
Lithuania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,25.4
Luxembourg,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.8
Luxembourg,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.7
Luxembourg,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3
Madagascar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.8
Madagascar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.3
Madagascar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
Malawi,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3
Malawi,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.5
Malawi,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Malaysia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.1
Malaysia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.7
Malaysia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Maldives,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.7
Maldives,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.4
Maldives,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.6
Mali,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.3
Mali,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.1
Mali,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.5
Malta,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.5
Malta,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.4
Malta,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Marshall Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Marshall Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Marshall Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Mauritania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.2
Mauritania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.4
Mauritania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Mauritius,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3
Mauritius,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5
Mauritius,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.5
Mexico,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6
Mexico,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.8
Mexico,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
