Location,Indicator,Period,Dim1,First Tooltip
China,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,41.6
Colombia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,59.9
Colombia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,34.5
Comoros,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,24.7
Comoros,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,7
Congo,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66.6
Congo,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,46.2
Cook Islands,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Cook Islands,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Costa Rica,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,55.7
Costa Rica,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,32.3
Côte d’Ivoire,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,68.4
Côte d’Ivoire,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,44.1
Croatia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,73.4
Croatia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,52.9
Cuba,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,61.3
Cuba,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,37.7
Cyprus,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,74.7
Cyprus,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,57.8
Czechia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,80.2
Czechia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,67.3
Democratic People's Republic of Korea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,45.6
Democratic People's Republic of Korea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,25.8
Democratic Republic of the Congo,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,34.1
Democratic Republic of the Congo,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,24.6
Denmark,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,74.3
Denmark,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,60.3
Djibouti,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,14.2
Djibouti,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,14
Dominica,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Dominica,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Dominican Republic,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,63.9
Dominican Republic,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,39.5
Ecuador,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,48.2
Ecuador,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,31.9
Egypt,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,15.5
Egypt,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,4.5
El Salvador,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,53.2
El Salvador,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,27.8
Equatorial Guinea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.4
Equatorial Guinea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,57.7
Eritrea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,23
Eritrea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,16.9
Estonia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,50.3
Estonia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,62.5
Eswatini,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,68.3
Eswatini,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,44.9
Ethiopia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,43.3
Ethiopia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,23.3
Fiji,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,45.5
Fiji,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,20.2
Finland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,75.7
Finland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,61.1
France,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,77.9
France,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,64.4
Gabon,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,73.1
Gabon,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,55.9
Gambia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,49.4
Gambia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,25.7
Georgia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,77.4
Georgia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,47.3
Germany,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,78.6
Germany,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,66.4
Ghana,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,39.6
Ghana,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,21.3
Greece,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,74.9
Greece,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,56.1
Grenada,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,71.6
Grenada,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,43.7
Guatemala,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,39.2
Guatemala,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,23
Guinea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,21.3
Guinea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,13.4
Guinea-Bissau,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,55
Guinea-Bissau,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,29.1
Guyana,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,64.8
Guyana,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,40.5
Haiti,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,60.8
Haiti,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,35.2
Honduras,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,51.5
Honduras,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,27.9
Hungary,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,77.5
Hungary,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,60.7
Iceland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.8
Iceland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,57.5
India,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,60
India,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,33.3
Indonesia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,16.5
Indonesia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,15.2
Iran (Islamic Republic of),"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,17.2
Iran (Islamic Republic of),"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,2.7
Iraq,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,15.2
Iraq,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,4.6
Ireland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,78.2
Ireland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,67
Israel,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,52.8
Israel,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,36.9
Italy,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,67.6
Italy,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,48.7
Jamaica,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,48.7
Jamaica,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,28.7
Japan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,67.8
Japan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,48.6
Jordan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,21.5
Jordan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,6.4
Kazakhstan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,73.9
Kazakhstan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,45.2
Kenya,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,47.4
Kenya,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,24.8
Kiribati,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,13.4
Kiribati,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,12.5
Kuwait,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,4.6
Kuwait,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,1.3
Kyrgyzstan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.3
Kyrgyzstan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,40.3
Lao People's Democratic Republic,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.7
Lao People's Democratic Republic,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,48.3
Latvia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,51.9
Latvia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,64.4
Lebanon,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,29.5
Lebanon,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,9.6
Lesotho,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,55.8
Lesotho,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,30.4
Liberia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,60.5
Liberia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,32.5
Libya,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,1.9
Libya,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,0.5
Lithuania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,53.6
Lithuania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,67.6
Luxembourg,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,76.6
Luxembourg,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,68
Madagascar,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,32.3
Madagascar,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,19.7
Malawi,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,48.9
Malawi,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,24.7
Malaysia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,16.8
Malaysia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,16.2
Maldives,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,36.1
Maldives,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,12.8
Mali,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,21
Mali,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,13.4
Malta,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,69.2
Malta,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,50.8
Marshall Islands,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Marshall Islands,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Mauritania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,4.1
Mauritania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,1.3
Mauritius,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,49.8
Mauritius,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,29.5
Mexico,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,64.4
Mexico,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,38.1
Micronesia (Federated States of),"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,40.2
Micronesia (Federated States of),"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,20.4
Monaco,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Monaco,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Mongolia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66.8
Mongolia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,38.1
Montenegro,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,71.8
Montenegro,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,48.3
Morocco,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,18.2
Morocco,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,5.3
Mozambique,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,35.8
Mozambique,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,20.5
Myanmar,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,57.7
Myanmar,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,31.2
Namibia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,69.3
Namibia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,44.4
Nauru,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Nauru,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Nepal,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,31.7
Nepal,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,20.7
Netherlands,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,69.7
Netherlands,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,55.5
New Zealand,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,74.5
New Zealand,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,61.2
Nicaragua,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,61
Nicaragua,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,33
Niger,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,11.2
Niger,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,8.7
Nigeria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,76.3
Nigeria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,57
Niue,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Niue,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Norway,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,63.4
Norway,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,54.7
Oman,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,17
Oman,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,8.2
Pakistan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,12.8
Pakistan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,3.2
Palau,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Palau,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Panama,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,67
Panama,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,41.5
Papua New Guinea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,24.2
Papua New Guinea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,15.5
Paraguay,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66.3
Paraguay,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,39.4
Peru,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,60.1
Peru,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,40.3
Philippines,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66
Philippines,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,37.1
Poland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,78.1
Poland,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,62.2
Portugal,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,78.8
Portugal,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,63
Qatar,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,20.8
Qatar,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,18.9
Republic of Korea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,74.5
Republic of Korea,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,56.3
Republic of Moldova,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,57
Republic of Moldova,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,61.5
Romania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,78.9
Romania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,62.1
Russian Federation,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,51.7
Russian Federation,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,61.8
Rwanda,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,70.4
Rwanda,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,44.7
Saint Kitts and Nevis,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Saint Kitts and Nevis,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Saint Lucia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,73.6
Saint Lucia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,54
