name,onPremiseAge,offPremiseAge,note,pop2019
Zimbabwe,18,18,,"14,645,468"
Botswana,18,18,,"2,303,697"
Suriname,18,18,,"581,372"
Sweden,18,18,18 for beer/20 for wine and spirits,"10,036,379"
Brazil,18,18,,"211,049,527"
Syria,18,18,,"17,070,135"
Tajikistan,18,18,,"9,321,018"
Tonga,18,18,,"104,494"
Trinidad and Tobago,18,18,,"1,394,973"
Tunisia,18,18,,"11,694,719"
Turkey,18,18,,"83,429,615"
Turkmenistan,18,18,,"5,942,089"
Tuvalu,18,18,,"11,646"
Albania,18,18,,"2,880,917"
Uganda,18,18,,"44,269,594"
Ukraine,18,18,,"43,993,638"
Egypt,18,18,On- and off-premise age minimum is 18 for beer/21 for wine and spirits.,"100,388,073"
United Kingdom,18,18,,"67,530,172"
Tanzania,18,18,,"58,005,463"
Belize,18,18,,"390,353"
Uruguay,18,18,,"3,461,734"
Venezuela,18,18,,"28,515,829"
Zambia,18,18,,"17,861,030"
South Korea,19,19,,"51,225,308"
Iceland,20,20,,"339,031"
Japan,20,20,,"126,860,301"
Paraguay,20,20,,"7,044,636"
Thailand,20,20,,"69,625,582"
Uzbekistan,20,20,,"32,981,716"
Central African Republic,21,15,,"4,745,185"
Sri Lanka,21,21,,"21,323,733"
Equatorial Guinea,21,21,,"1,355,986"
Kiribati,21,21,,"117,606"
Iraq,21,21,Sources say only Iraqi Christians are permitted to sell alcohol; alcohol sales were banned entirely from 2006-08.,"39,309,783"
Mongolia,21,21,,"3,225,167"
Oman,21,21,,"4,974,986"
Nauru,21,21,No info provided by WHO; other sources list 21 as the drinking age.,"10,756"
Micronesia,21,21,,"113,815"
Palau,21,21,,"18,008"
United States,21,21,,"329,064,917"
Samoa,21,21,No info provided by WHO; other sources list 21,"197,097"
